id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident
248941,14846,89VA,1500,40,TURF,0,0,11
250879,14847,89WA,1400,70,TURF,0,0,18
248721,14848,89WI,1584,50,TURF,0,0,14
507592,507591,89XA,2100,60,Turf,0,0,15
270752,14849,89XS,290,113,TURF,0,0,H1
254992,14850,89Y,2300,70,TURF-P,0,0,9
266560,14851,8A4,60,60,CONC-G,0,0,H1
250565,14852,8A7,2943,50,ASPH-F,1,0,9
258151,14855,8AK1,1200,100,DIRT,0,0,6
255430,14856,8AK2,2600,60,GRVL-DIRT-F,0,0,17
248749,14857,8AK3,3000,70,GRVL,0,0,2
250413,14859,8AK6,2600,50,DIRT,0,0,16
252883,14861,8AK8,1500,50,GRAVEL,0,0,14
246697,14862,8AK9,2035,80,GRAVEL,0,0,10
266561,14863,8AL9,50,50,CONC,0,0,H1
256431,14864,8AN6,750,28,TURF,0,0,5
239774,14866,8AR1,1800,100,TURF,0,0,13
264055,45290,8AZ5,2500,60,DIRT,0,0,1
252082,14867,8B2,2660,60,ASPH-F,1,0,9
257221,14868,8C2,2130,120,TURF-G,0,0,8
256022,14869,8C5,1850,100,TURF-F,0,0,17
257794,14870,8C6,2555,100,TURF-G,1,0,17
249524,14871,8CA0,2600,80,ASPH,0,0,2
266562,14872,8CA1,100,100,TURF,0,0,H1
266563,14873,8CA2,40,40,CONC,0,0,H1
266564,14874,8CA3,100,100,TURF,0,0,H1
266565,14875,8CA4,65,65,ASPH,0,0,H1
248825,14876,8CA5,2500,150,TURF-DIRT,0,0,18
266566,14877,8CA6,65,65,ASPH,0,0,H1
266567,14878,8CA7,58,55,MATS,0,0,H1
241617,14879,8CA8,3488,50,ASPH,1,0,17
266568,14880,8CA9,100,100,ASPH,0,0,H1
505724,505723,8CD0,43,43,CON,0,0,H1
249003,14881,8CL0,2600,100,TURF,0,0,10
250317,14882,8CL1,1345,30,TRTD-DIRT-P,0,0,3
248119,14883,8CL2,3000,40,DIRT,0,0,11
266569,14884,8CL3,100,100,ASPH,0,0,H1
266570,14885,8CL4,40,40,ROOF-TOP,1,0,H1
266571,14886,8CL5,40,40,CONC,0,0,H1
254067,14887,8CL6,1700,75,ASPH-DIRT,0,0,N
266572,14888,8CL7,690,177,ASPH,0,0,H1
266573,14889,8CL8,42,39,CONC,0,0,H1
257055,14891,8CO0,2550,50,DIRT,0,0,7
266574,14892,8CO1,20,20,DIRT,0,0,H1
249625,14893,8CO2,3800,50,DIRT,0,0,14
266575,14894,8CO3,20,20,DIRT,0,0,H1
257132,14895,8CO4,2600,40,DIRT,0,0,18
249061,14896,8CO5,2200,50,GRAVEL,1,0,4
266576,14897,8CO6,50,50,ASPH,0,0,H1
246727,14898,8CO7,3400,150,TURF,0,0,7
257302,14899,8CO8,2700,40,TURF,0,0,12
256106,14900,8CO9,4400,50,DIRT,0,0,16
255160,14901,8D4,4033,75,ASPH-G,1,0,7
246599,14902,8D6,3700,150,TURF-GRVL-F,1,0,14
248707,14903,8D8,2600,250,TURF-G,0,0,12
247807,14904,8D9,2672,150,TURF-G,1,0,13
247808,14904,8D9,1932,150,TURF-G,0,0,18
248514,14905,8FA0,7000,7000,WATER,0,0,ALL
346577,346576,8FA1,2000,60,Turf,0,0,9
505716,505711,8FA5,50,50,CON,1,0,H1
505719,505718,8FA7,44,44,CON,1,0,H1
356205,356204,8FA9,504,35,WAT,0,0,7W
250363,14906,8FD1,2500,100,TURF,0,0,18
353468,14907,8FD2,4145,75,Turf,0,0,9
251197,14908,8FD3,4000,100,TURF,0,0,18
266577,14909,8FD4,69,69,ASPH-G,0,0,H1
246902,14910,8FD5,3400,70,TURF,0,0,18
329965,14911,8FD7,96,40,CON,0,1,H1
266578,14912,8FD8,30,30,CONC,1,0,H1
251351,14914,8FL0,2390,50,TURF,0,0,9
251352,14914,8FL0,2140,50,TURF,0,0,18
250458,14915,8FL1,2800,100,TURF,0,0,4
250640,14916,8FL2,2200,100,TURF,0,0,N
255308,14917,8FL3,3000,100,TURF,0,0,18
266579,14918,8FL4,30,30,CONC,1,0,H1
266580,14919,8FL5,30,30,TURF,0,0,H1
246460,14920,8FL6,2000,150,TURF,0,0,18
266581,14921,8FL7,25,25,TURF-G,0,0,H1
266582,14922,8FL8,80,80,CONC,0,0,H1
266583,14923,8FL9,200,100,TURF,0,0,H1
251823,14924,8G3,3150,80,TURF-G,0,0,10
253781,14925,8G8,1850,100,TURF-G,0,0,9
266584,14926,8GA0,20,20,CONC,0,0,H1
253680,14927,8GA1,2350,65,TURF,1,0,6
266585,14928,8GA2,40,40,CONC,0,0,H1
254328,14929,8GA3,3100,75,ASPH-TURF,0,0,18
266586,14930,8GA4,40,40,ASPH,1,0,H1
252073,14932,8GA6,2500,145,TURF,1,0,18
249514,14933,8GA7,3800,60,TURF,0,0,17
256109,14934,8GA8,2000,60,TURF,0,0,17
252213,14935,8GA9,2970,150,TURF,0,0,2
266587,14936,8GE8,40,40,CONC,0,0,H1
509639,509638,8GK,5000,75,CON,0,0,6
247239,14937,8I1,1670,50,TURF-P,0,0,9
250562,14938,8I3,2048,110,TURF-F,0,0,18
266588,14939,8IA0,30,30,ASPH,0,0,H1
266589,14940,8IA1,60,60,CONC,0,0,H1
252774,14941,8IA2,2450,70,TURF,1,0,9
345300,345299,8IA8,600,125,Turf,0,0,12
256272,14942,8IA9,1760,60,TURF,0,0,16
264210,45398,8ID8,2100,75,TURF-G,0,0,18
252730,14943,8II0,1800,80,TURF,0,0,3
250699,14944,8II1,1320,66,TURF,0,0,9
254051,14945,8II2,2500,100,TURF,0,0,9
257728,14946,8II3,2600,85,TURF,0,0,E
266590,14947,8II4,16,12,CONC,0,0,H1
255145,14948,8II5,1700,50,TURF,0,0,18
266591,14949,8II6,100,100,TURF,0,0,H1
266592,14950,8II7,100,100,TURF,0,0,H1
266593,14951,8II8,100,100,TURF,0,0,H1
266594,14952,8II9,50,16,CONC,0,0,H1
257395,14953,8IL0,1950,78,TURF,0,0,N
252761,14954,8IL1,1980,75,GRAVEL,0,0,9
257243,14955,8IL2,2000,75,TURF,0,0,N
256582,14956,8IL3,2550,70,TURF,0,0,18
266595,14957,8IL4,40,40,CONC,1,0,H1
254349,14958,8IL5,1800,70,TURF,0,0,9
254025,14959,8IL6,2080,90,TURF,0,0,18
246729,14960,8IL7,3500,300,WATER,0,0,02W
246730,14960,8IL7,4000,400,WATER,0,0,05W
246731,14960,8IL7,2500,200,WATER,0,0,09W
266596,14961,8IL8,40,40,ASPH,0,0,H1
253678,14962,8IL9,5280,0,WATER,0,0,N
264234,45407,8IN1,40,40,ASPH,1,0,H1
253636,14963,8IN2,2347,61,TURF,0,0,9
266597,14964,8IN4,50,50,ASPH,1,0,HI
266598,14965,8IN5,50,50,CONC,0,0,H1
266599,14966,8IN6,50,50,CONC,0,0,H1
257878,14967,8IN7,2200,100,TURF,0,0,9
264300,45406,8IN8,40,40,CONC,0,0,H1
248705,14968,8IN9,2000,60,TURF,0,0,18
266600,14969,8IS0,30,30,CONC,0,0,H1
257360,14970,8IS1,3200,80,TURF,0,0,9
255166,14971,8IS2,2000,55,TURF,0,0,9
266601,14972,8IS3,30,30,CONC,0,0,H1
266602,14973,8IS4,40,40,CONC,0,0,H1
257823,14974,8IS5,2585,100,TURF,0,0,18
266603,14975,8IS6,45,45,MATS-G,1,0,H1
266604,14976,8IS8,40,40,CONC,1,0,H1
266605,14977,8IS9,40,40,CONC,0,0,H1
257912,14979,8K0,2560,150,TURF-F,0,0,18
247500,14980,8K4,2514,60,TURF-GRVL-F,0,0,18
247327,14981,8K5,2765,160,TURF-F,1,0,17
249617,14982,8K7,2600,130,TURF-G,0,0,2
249618,14982,8K7,2400,290,TURF-G,1,0,17
252861,14983,8K8,1619,50,TURF-P,0,0,11
252860,14983,8K8,3200,60,CON,1,0,36
254875,14984,8K9,10000,2000,WATER,0,0,NE
254964,14985,8KA,1200,12,TURF-GRVL-P,0,0,6
246684,14986,8KS0,2800,70,TURF,0,0,8
257184,14987,8KS1,2000,40,TURF,0,0,17
256371,14988,8KS2,1000,40,TURF,0,0,6
256372,14988,8KS2,1800,40,TURF,0,0,17
246816,14989,8KS3,2540,50,TURF,0,0,17
248330,14990,8KS4,1200,30,TURF,0,0,17
254044,14991,8KS5,2000,50,TURF,0,0,6
266606,14992,8KS6,80,80,CONC,0,0,H1
255767,14993,8KS7,1800,80,TURF,0,0,1
248081,14994,8KS8,1400,60,,0,0,5
248082,14994,8KS8,2400,60,TURF,0,0,18
250062,14995,8KS9,2500,50,TURF,0,0,18
322662,322661,8KT8,1494,88,Turf,0,0,15
247881,14996,8KY0,700,60,TURF,0,0,18
345545,345544,8KY1,60,60,CON,0,0,H1
345341,345340,8KY2,40,40,CON,1,0,H1
264188,45431,8KY3,945,50,TURF-G,0,0,16
347890,347883,8KY5,30,30,CON,1,0,H1
270753,45963,8KY6,2000,65,TURF,0,0,10
345660,345657,8KY9,50,50,CON,1,0,H1
266607,14997,8LA0,40,25,CONC,0,0,H1
266608,14997,8LA0,40,25,CONC,0,0,H2
266609,14997,8LA0,40,25,CONC,0,0,H3
266610,14997,8LA0,40,25,CONC,0,0,H4
266611,14997,8LA0,40,25,CONC,0,0,H5
266612,14997,8LA0,40,25,CONC,0,0,H6
266613,14997,8LA0,40,25,CONC,0,0,H7
253025,14998,8LA1,10000,400,WATER,0,1,18W
269353,14998,8LA1,80,80,CONC,0,0,H1
266614,15000,8LA3,40,40,TURF,0,0,H1
266615,15001,8LA4,60,60,CONC,0,0,H1
266616,15002,8LA5,40,40,WOOD,0,0,H1
266617,15004,8LA7,20,20,CONC,0,0,H1
266618,15005,8LA8,24,24,TURF,0,0,H1
334248,15006,8LA9,2600,185,GRS,0,0,E
254364,15007,8LL0,2100,70,TURF,0,0,9
257134,15008,8LL1,1895,70,TURF,0,0,9
256359,15009,8LL2,1500,70,TURF,0,0,N
266619,15010,8LL4,40,40,CONC,0,0,H1
266620,15011,8LL5,40,40,CONC,1,0,H1
266621,15012,8LL6,35,35,CONC,0,0,H1
252044,15013,8LL7,1900,60,TURF,0,0,18
266622,15014,8LL8,40,40,CONC,1,0,H1
256989,15015,8M2,2330,160,ASPH-TURF-G,0,0,1
253263,15016,8M6,2230,100,TURF-F,1,0,13
253264,15016,8M6,2500,90,TURF-F,0,0,18
247211,15017,8M7,2875,80,TURF-G,0,0,18
249087,15018,8MD0,1785,50,TURF,0,0,2
266623,15019,8MD1,80,80,CONC,0,0,H1
266624,15020,8MD2,20,20,CONC,0,0,H1
266625,15021,8MD3,40,38,ASPH-G,1,0,H1
251889,15022,8MD4,2300,50,TURF-G,0,0,17
249086,15023,8MD5,2000,50,TURF,0,0,18
258044,15024,8MD6,2200,30,GRVL-P,0,0,15
252597,15025,8MD7,2000,80,TURF-G,0,0,11
254399,15026,8MI0,2600,75,TURF,0,0,N
266626,15027,8MI1,50,50,ASPH,0,0,H1
266627,15028,8MI2,30,30,ASPH,0,0,H1
246482,15029,8MI3,2000,100,TURF-F,0,0,5
249193,15030,8MI4,2500,100,TURF,0,0,N
266628,15032,8MI6,40,40,CONC,0,0,H1
255085,15033,8MI7,2000,100,TURF-GRVL,0,0,1
254027,15034,8MI8,2640,70,TURF,0,0,18
250302,15035,8MI9,1500,50,TURF,0,0,18
251874,15037,8MN1,2200,75,TURF,0,0,3
331668,331667,8MN2,2505,22,ASP,0,0,18
249758,15038,8MN3,2300,50,ASPH,0,0,17
256326,15039,8MN4,2100,110,TURF,0,0,N
254864,15040,8MN5,2000,30,TURF,0,0,N
326254,326253,8MN6,1755,50,Turf,0,0,9
266629,15041,8MN7,40,40,CONC,1,0,HI
248590,15042,8MN8,2800,100,TURF,0,0,13L
248591,15042,8MN8,1600,75,TURF,0,0,13R
270754,15044,8MO0,100,100,CONC,0,0,H1
270755,15045,8MO2,35,35,CONC,0,0,H1
252480,15046,8MO3,2200,80,TURF,0,0,9
252481,15046,8MO3,2400,80,TURF,1,0,17
250971,15048,8MO5,2000,100,TURF,0,0,13
270756,15049,8MO6,30,30,CONC,0,0,H1
246492,15050,8MO7,2600,100,TURF,0,0,N
270757,15052,8MO9,135,90,ASPH,0,0,H1
346061,323297,8MS1,2900,80,Turf,0,0,18
325045,325044,8MS2,3900,90,Turf,0,0,9
506066,506065,8MT4,2200,50,Turf,0,0,5
270758,15053,8N0,60,60,CONC-G,1,0,H1
248416,15054,8N1,2720,100,TURF-G,0,0,11
251593,15055,8N4,2405,100,TURF-F,0,0,2
256571,15056,8N7,1800,100,TURF-G,0,0,8
256572,15056,8N7,1850,120,TURF-G,0,0,11
250164,15057,8NA0,2100,50,TURF,0,0,10
253336,15059,8NA5,2800,60,TURF,0,0,12
